2026-04-15 16:01:04 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | __main__ | Starting Hello Wiki Backend in DEBUG mode...
2026-04-15 16:01:04 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | uvicorn.error | Will watch for changes in these directories: ['C:\\Users\\admin\\Desktop\\Hello-Wiki\\apps\\backend']
2026-04-15 16:01:04 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | uvicorn.error | Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2026-04-15 16:01:04 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | uvicorn.error | Started reloader process [3940] using WatchFiles
2026-04-15 16:01:05 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | watchfiles.main | 1 change detected
2026-04-15 16:01:05 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | watchfiles.main | 1 change detected
2026-04-15 16:01:05 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | watchfiles.main | 1 change detected
2026-04-15 16:01:06 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | watchfiles.main | 1 change detected
2026-04-15 16:01:06 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | watchfiles.main | 1 change detected
2026-04-15 16:01:07 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | watchfiles.main | 1 change detected
2026-04-15 16:01:07 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | src.infrastructure.observability.otel_runtime | OpenTelemetry configured. endpoint=http://localhost:6006/v1/traces runtime=api
2026-04-15 16:01:07 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | uvicorn.error | Started server process [25300]
2026-04-15 16:01:07 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | uvicorn.error | Waiting for application startup.
2026-04-15 16:01:07 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | src.main | Initializing Hello Wiki Backend services...
2026-04-15 16:01:07 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | watchfiles.main | 9 changes detected
2026-04-15 16:12:09 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | src.infrastructure.observability.otel_runtime | OpenTelemetry configured. endpoint=http://localhost:6006/v1/traces runtime=api
2026-04-15 16:14:35 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | src.infrastructure.observability.otel_runtime | OpenTelemetry configured. endpoint=http://localhost:6006/v1/traces runtime=api
2026-04-15 16:19:52 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | src.infrastructure.observability.otel_runtime | OpenTelemetry configured. endpoint=http://localhost:6006/v1/traces runtime=api
2026-04-15 16:21:18 | INFO | Hello Wiki Backend | trace=no-trace-id | workspace=- | src.infrastructure.observability.otel_runtime | OpenTelemetry configured. endpoint=http://localhost:6006/v1/traces runtime=api
